cardID,username,email,prename,surname,birthDate,sex,validityDate,state,,rights,street,postcode,city
w790zjjv,HeiJun,HeJu0033@stud.hs-kl.de,Heinz-Otto,Juncken,2003-10-08,male,2019-08-20,banned,,admin,Miodrag-Drewes-Allee 11,37472,Ribnitz-Damgarten
86ni586p,JulMar,JuMa0035@stud.hs-kl.de,Julia,Martinez,1978-04-16,diverse,2020-09-06,inactive,,admin,Asta-Sorgatz-Gasse 135,74234,Pinneberg
h7v983ax,MatFle,MaFl0023@stud.hs-kl.de,Mathilde,Fleury,1976-02-28,female,2020-08-04,active,,admin,Egon-Bachmann-Weg 57,58761,Wismar
ge8egrcx,TodCol,ToCo0045@stud.hs-kl.de,Todd,Collins,1974-03-23,diverse,2020-02-08,banned,,user,Mühlering 8,96188,Ilmenau
161d6dnc,JosRam,JoRa0037@stud.hs-kl.de,Joshua,Ramirez,1998-06-19,female,2020-07-04,active,,admin,Süßebierplatz 32,71440,Wetzlar
hyu6f12q,MatBou,MaBo0019@stud.hs-kl.de,Matthieu,Boutin,2002-07-30,diverse,2020-01-30,active,,admin,Ralf-Dieter-Mülichen-Platz 3,07322,Wernigerode
cm3cpvzh,DiaSch,DiSc0003@stud.hs-kl.de,Diana,Schönland,2007-05-26,diverse,2021-01-08,inactive,,admin,Gnatzstr. 06,84463,Neustadt am Rübenberge
c90qxkjf,AimHar,AiHa0002@stud.hs-kl.de,Aimé,Hardy,2014-03-05,male,2019-07-19,active,,user,Patrizia-Austermühle-Gasse 6/2,67361,Erkelenz
9acf6g8s,CurChr,CuCh0063@stud.hs-kl.de,Curt,Christoph,1974-08-12,male,2019-11-07,inactive,,user,Emine-Köhler-Allee 1/7,37886,Ochsenfurt
jiinmf3c,AndSmi,AnSm0009@stud.hs-kl.de,Andrew,Smith,1970-01-17,male,2020-09-02,active,,admin,Gehringerstraße 397,52827,Uelzen
d1gw1uln,GuyFou,GuFo0079@stud.hs-kl.de,Guy,Fouquet,2005-02-21,female,2021-06-23,banned,,user,auch Schlauchinplatz 4/3,97737,Sigmaringen
poodoyeb,VirPin,ViPi0045@stud.hs-kl.de,Virginie,Pineau,1985-01-14,male,2020-01-27,inactive,,user,Dörrplatz 4/2,74006,Schrobenhausen
jfcrmjuz,DanSno,DaSn0047@stud.hs-kl.de,Daniel,Snow,1992-07-02,male,2021-01-11,inactive,,user,Elsbeth-Heintze-Ring 96,32335,Belzig
dtvtx44u,FraLer,FrLe0047@stud.hs-kl.de,François,Leroux,2012-09-05,diverse,2020-06-18,active,,admin,Hinrich-Schwital-Platz 9/9,80927,Hettstedt
lnpt0kt3,JerBla,JeBl0081@stud.hs-kl.de,Jeremy,Blair,1984-06-03,female,2020-08-27,banned,,user,Löchelring 3,92532,Strausberg
l855hfe5,LilOrt,LiOr0079@stud.hs-kl.de,Liliana,Ortmann,1976-03-13,diverse,2020-11-22,inactive,,user,Mudegasse 88,15003,Neuss
o8jjycyj,GeeEhl,GeEh0018@stud.hs-kl.de,Geert,Ehlert,1994-09-09,female,2020-02-18,inactive,,user,Noackring 6/4,05210,Badibling
m53q17v2,ChaDev,ChDe0041@stud.hs-kl.de,Charles,Devaux,1973-01-04,female,2021-03-23,active,,admin,Textorstr. 3/0,57909,Hammelburg
njrrwpcy,GeoLee,GeLe0065@stud.hs-kl.de,George,Lee,2001-08-22,male,2020-02-24,banned,,user,Ante-Wilms-Straße 88,70501,Mettmann
aea2uyob,CarHol,CaHo0007@stud.hs-kl.de,Carol,Holmes,1991-02-15,female,2020-03-01,banned,,admin,Gustav-Hein-Gasse 5/1,70386,Schweinfurt
yijezujz,MinWag,MiWa0065@stud.hs-kl.de,Mina,Wagner,2017-05-08,female,2020-08-20,inactive,,admin,Hörlegasse 34,22362,Moers
4ff9y6w2,JérBer,JéBe0052@stud.hs-kl.de,Jérôme,Bertrand,1977-08-04,diverse,2019-10-05,inactive,,admin,Adriane-Gröttner-Allee 516,74683,Lörrach
8sultenu,RobPhi,RoPh0058@stud.hs-kl.de,Robert,Phillips,2007-07-17,female,2020-09-01,active,,admin,Horst-Peter-Dörr-Weg 723,46201,Hannoversch Münden
9o79dm9u,SheCro,ShCr0002@stud.hs-kl.de,Shelly,Crosby,2015-09-04,female,2021-06-29,banned,,admin,Stefanie-Jäntsch-Ring 78,18579,Torgau
qs5mvz2k,LjuFra,LjFr0024@stud.hs-kl.de,Ljubica,Franke,1981-07-26,female,2019-12-22,active,,admin,Ahmad-Rogner-Allee 7/5,22948,Gotha
wcsp3apx,AimBou,AiBo0034@stud.hs-kl.de,Aimée,Bouvet,1995-01-08,diverse,2020-01-31,active,,user,Haufferplatz 5,92799,Rothenburg ob der Tauber
ao28vvl6,MicBou,MiBo0096@stud.hs-kl.de,Michelle,Boulay,1982-10-21,male,2019-11-05,banned,,admin,Alexej-Müller-Weg 63,56576,Coburg
mo1reenv,CamVal,CaVa0072@stud.hs-kl.de,Camille,Valette,1978-07-04,female,2020-09-26,banned,,admin,Lothar-Etzler-Ring 277,11551,Berlin
5w9iivdb,HerBee,HeBe0087@stud.hs-kl.de,Hertha,Beer,1990-05-25,male,2021-04-15,active,,admin,Salzstraße 2/8,77817,Bad Freienwalde
zihwwus0,SamFra,SaFr0074@stud.hs-kl.de,Samuel,Frazier,1989-10-18,male,2021-01-10,active,,user,Birgitt-Scholl-Allee 243,40212,Gelnhausen
vm82cmt2,GilGui,GiGu0083@stud.hs-kl.de,Gilles,Guilbert,2008-06-25,male,2021-06-30,active,,admin,Röhrichtgasse 927,39073,Bad Liebenwerda
ukzhtvr3,NatDe ,NaDe0072@stud.hs-kl.de,Nathalie,De Sousa,2015-07-15,male,2020-05-01,inactive,,user,Trubstraße 360,80423,Regen
drc224ij,ScoKni,ScKn0042@stud.hs-kl.de,Scott,Knight,2010-03-22,diverse,2019-10-04,active,,admin,Kästerplatz 8/4,76885,Sondershausen
aprtzhp7,MatRic,MaRi0025@stud.hs-kl.de,Matthew,Richard,2002-10-29,diverse,2021-02-11,banned,,user,Frida-Schuchhardt-Allee 6/9,02532,Sigmaringen
rc6hx5gt,AnnMor,AnMo0014@stud.hs-kl.de,Anne,Moreau,2006-05-03,female,2020-08-14,active,,user,Mülichengasse 79,45063,Vilsbiburg
m1ow3j3p,ShaNav,ShNa0013@stud.hs-kl.de,Sharon,Navarro,1993-10-13,female,2020-03-28,inactive,,user,Hartmannstraße 40,54195,Plauen
yrh7986q,HayRiv,HaRi0042@stud.hs-kl.de,Hayley,Rivera,2015-05-13,male,2019-11-17,active,,admin,Pohlgasse 96,35885,Günzburg
bezkwsh6,FraPer,FrPe0086@stud.hs-kl.de,Françoise,Perrin,2010-06-12,male,2020-01-10,active,,user,Hedy-Hande-Weg 3,88532,Vohenstrauß
x125uio8,MarGra,MaGr0077@stud.hs-kl.de,Marko,Graf,1985-09-22,female,2021-05-19,inactive,,user,Fridolin-Bruder-Ring 71,39720,Apolda
19sfddex,JanKöh,JaKö0056@stud.hs-kl.de,Janus,Köhler,1979-09-28,female,2020-01-08,banned,,user,Olivia-Vollbrecht-Straße 9,48426,Konstanz
f5dwupkq,RobFlo,RoFl0069@stud.hs-kl.de,Robert,Flowers,1972-10-30,diverse,2019-09-11,active,,user,Denny-Stumpf-Allee 584,60385,Demmin
82pwmkkt,KriWat,KrWa0038@stud.hs-kl.de,Kristen,Watson,2013-03-22,diverse,2020-07-23,banned,,admin,Mikhail-Reichmann-Gasse 0/0,99079,Hamburg
syrtdvc0,FraCar,FrCa0055@stud.hs-kl.de,Françoise,Carlier,2021-03-28,female,2021-02-26,inactive,,user,Weinhagering 11,75246,Werdau
bpgok0de,RenMas,ReMa0022@stud.hs-kl.de,René,Masson,1998-12-03,diverse,2020-02-10,active,,user,Höfigweg 445,68746,Burgdorf
ahxyvtok,TheTho,ThTh0015@stud.hs-kl.de,Theresa,Thompson,2009-06-16,diverse,2019-10-28,active,,user,Reichmannplatz 4/1,15250,Wittmund
0spg322s,FraTei,FrTe0043@stud.hs-kl.de,François,Teixeira,2008-04-27,male,2020-02-12,active,,user,Pierre-Rörricht-Straße 310,23415,Lübz
zw9ybg8m,JamSte,JaSt0023@stud.hs-kl.de,James,Stewart,1990-08-20,male,2020-10-13,active,,user,Faruk-Wesack-Gasse 15,74679,Fürstenfeldbruck
o0cjmyyv,AshJac,AsJa0057@stud.hs-kl.de,Ashley,Jackson,1996-12-10,male,2019-08-27,banned,,admin,Elif-Zirme-Allee 220,86691,Herzberg
0eblu4rr,SavPri,SaPr0063@stud.hs-kl.de,Savannah,Price,1994-10-28,diverse,2020-09-10,active,,user,Liebeltplatz 1/9,63279,Auerbach
hf9a8n4t,IrmGie,IrGi0031@stud.hs-kl.de,Irmtrud,Gierschner,1975-02-15,diverse,2020-04-22,banned,,admin,Jacobi Jäckelstr. 120,58375,Halberstadt
i6v0rzxd,JosLef,JoLe0068@stud.hs-kl.de,Josette,Lefevre,1981-05-15,female,2020-08-31,active,,user,Vollbrechtweg 3/5,99384,Zschopau
bpq9s1w3,ThiHen,ThHe0093@stud.hs-kl.de,Thilo,Hentschel,2005-05-15,female,2020-04-03,banned,,admin,Adem-Pergande-Straße 77,58303,Werdau
eemu7sed,LucHeb,LuHe0093@stud.hs-kl.de,Lucie,Hebert,2010-12-17,male,2020-06-08,inactive,,admin,Engin-Hermighausen-Allee 5,54600,Gera
exxuoy94,JusDav,JuDa0024@stud.hs-kl.de,Justin,Davis,2010-02-04,male,2020-07-12,inactive,,user,Gierschnerallee 8/6,71562,Calw
ua42nip0,SimLed,SiLe0085@stud.hs-kl.de,Simone,Leduc,1976-04-13,male,2021-01-15,active,,user,Judith-Schacht-Ring 1/8,87624,Genthin
c5451g3u,SopDa ,SoDa0011@stud.hs-kl.de,Sophie,Da Silva,1996-10-23,diverse,2021-06-21,inactive,,admin,Fröhlichring 7,86334,Ochsenfurt
31twmgr7,MarCar,MaCa0092@stud.hs-kl.de,Marisa,Carter,1982-07-16,male,2020-09-12,banned,,admin,Casparplatz 9/9,58369,Sonneberg
vpgvxpw9,PatMas,PaMa0035@stud.hs-kl.de,Patrick,Masse,1972-07-25,male,2021-01-17,active,,user,Nicole-Reinhardt-Platz 72,13437,Sonneberg
2i8q3afi,RonMye,RoMy0035@stud.hs-kl.de,Ronald,Myers,2017-09-04,male,2020-06-22,inactive,,admin,Frida-Dobes-Straße 59,33523,Meiningen
a6djql6f,CarMar,CaMa0039@stud.hs-kl.de,Carla,Marshall,1976-07-23,female,2019-11-03,active,,user,Schottingasse 4,64821,Lübz
nqjnj3vx,ScoOsb,ScOs0005@stud.hs-kl.de,Scott,Osborne,2019-10-05,male,2020-12-22,inactive,,user,Adelheid-Schuster-Ring 7,38464,Klötze
gni4qvr3,ArtFou,ArFo0057@stud.hs-kl.de,Arthur,Foucher,2020-11-28,diverse,2019-12-24,inactive,,user,Bohnbachstr. 622,63303,Eichstätt
uezjc7jd,ManBon,MaBo0079@stud.hs-kl.de,Manon,Bonnet,1985-05-25,diverse,2019-10-26,active,,user,Vitali-Knappe-Ring 64,07027,Hammelburg
nq8v2yeb,EmiDun,EmDu0015@stud.hs-kl.de,Emily,Duncan,1978-01-28,diverse,2020-04-18,inactive,,admin,Mona-Hölzenbecher-Platz 924,76118,Leipziger Land
exzb6el4,KatSch,KaSc0007@stud.hs-kl.de,Katja,Schmidtke,1981-03-26,diverse,2020-07-26,banned,,user,Tintzmannallee 1/1,16898,Schwäbisch Hall
mcgvfpn8,GuyBer,GuBe0094@stud.hs-kl.de,Guy,Bernier,2003-04-28,male,2019-12-01,banned,,user,Marjan-Säuberlich-Weg 1/0,77912,Wolfach
2k20zl7g,JulWag,JuWa0056@stud.hs-kl.de,Julien,Wagner,2017-05-29,female,2019-09-01,inactive,,admin,Matthäiring 6/2,19477,Säckingen
2jvlnybw,JosPar,JoPa0015@stud.hs-kl.de,Joséphine,Paris,1984-11-15,diverse,2020-11-12,active,,admin,Therese-Börner-Gasse 54,25671,Hammelburg
7gqvqx7k,ÉliLed,ÉlLe0011@stud.hs-kl.de,Élisabeth,Ledoux,1973-05-14,female,2020-05-03,inactive,,admin,Natalie-Ullrich-Ring 2/3,67883,Vilsbiburg
rdsm03kw,CorBau,CoBa0047@stud.hs-kl.de,Corinna,Bauer,1994-01-22,diverse,2020-04-06,banned,,admin,Anka-Gertz-Straße 67,53144,Wernigerode
rzh5ilh6,MarBer,MaBe0079@stud.hs-kl.de,Marcella,Berger,2020-12-04,male,2019-10-06,active,,user,Dietzgasse 627,23975,Bremervörde
h7h3d8kv,PatRen,PaRe0043@stud.hs-kl.de,Patricia,Renard,1983-04-18,diverse,2019-12-11,inactive,,user,Jutta-Etzler-Ring 8/2,93052,Pritzwalk
caypra4r,ÉliGon,ÉlGo0027@stud.hs-kl.de,Élise,Gonzalez,2002-03-25,female,2021-05-24,inactive,,admin,Fernando-Benthin-Ring 1,51391,Bergzabern
5z8o3yv3,RobVal,RoVa0082@stud.hs-kl.de,Robert,Vallee,1974-07-04,female,2020-07-09,banned,,admin,Rosemannallee 1/5,53507,Flöha
phwfbquw,CarMar,CaMa0035@stud.hs-kl.de,Carl,Martin,2004-04-16,diverse,2020-04-17,active,,user,Marta-Salz-Allee 73,31285,Querfurt
d04wrnaf,KarGut,KaGu0028@stud.hs-kl.de,Karl-Dieter,Gute,1990-02-25,female,2021-04-30,banned,,admin,Eugen-Jessel-Weg 7,80340,Rottweil
lwjtowzc,VinCoo,ViCo0086@stud.hs-kl.de,Vincent,Cooper,1975-09-14,female,2020-03-17,banned,,admin,Fritschallee 7,76141,Bad Brückenau
9hcgep8t,AnnMor,AnMo0066@stud.hs-kl.de,Anna,Morton,2004-03-12,female,2021-06-17,inactive,,user,Helga-Staude-Gasse 81,83537,Klötze
izsev2li,JosHam,JoHa0037@stud.hs-kl.de,Joséphine,Hamel,2003-02-02,diverse,2020-01-12,inactive,,user,Wagenknechtgasse 8,58529,Aschaffenburg
rws6srxk,DanRog,DaRo0042@stud.hs-kl.de,Daniel,Rogers,1972-10-27,male,2020-04-28,banned,,admin,Barkholzring 4/2,02545,Göttingen
6qe0u4n6,AnnLyo,AnLy0048@stud.hs-kl.de,Ann,Lyons,1982-05-09,male,2021-02-03,banned,,admin,Fechnerallee 630,56741,Freudenstadt
dnk6remp,ThiJun,ThJu0025@stud.hs-kl.de,Thilo,Juncken,2008-09-30,male,2021-03-27,inactive,,user,Dursun-Zimmer-Straße 1,56625,Miesbach
n190e8yd,SamMen,SaMe0074@stud.hs-kl.de,Samantha,Mendoza,2005-05-16,female,2020-12-23,banned,,admin,Friedemann-Linke-Weg 7,88800,Wittstock
p5tfzrz9,EliCas,ElCa0026@stud.hs-kl.de,Elizabeth,Castro,2011-02-24,male,2020-12-23,inactive,,admin,Gerhart-Hettner-Platz 077,48681,Guben
8nn4ag7b,WilGre,WiGr0056@stud.hs-kl.de,William,Greene,2000-05-27,male,2020-05-15,inactive,,user,Gotthilf-Steckel-Gasse 782,70122,Eckernförde
yl5iksml,MirLos,MiLo0048@stud.hs-kl.de,Mira,Losekann,2014-10-31,male,2020-06-03,inactive,,admin,Erik-Röhricht-Allee 4,03972,Wismar
hnzxyrb5,AmaOde,AmOd0053@stud.hs-kl.de,Amalia,Oderwald,2007-12-02,female,2020-09-07,active,,admin,Klotzweg 2,23489,Starnberg
g0mlgqbb,RenPot,RePo0058@stud.hs-kl.de,Renée,Pottier,1995-12-30,diverse,2020-11-04,inactive,,user,Stahrstr. 26,71375,Potsdam
57yc586u,GerCic,GeCi0023@stud.hs-kl.de,Gerda,Cichorius,1992-01-25,diverse,2019-10-01,inactive,,admin,Eggert-Meyer-Gasse 371,89260,Burglengenfeld
1vm9oj3u,JosPri,JoPr0081@stud.hs-kl.de,Jose,Price,1982-01-21,female,2020-12-16,banned,,user,Änne-Hamann-Gasse 71,38291,Schleiz
zwyvcohk,AndArn,AnAr0027@stud.hs-kl.de,Andrew,Arnold,1996-02-22,diverse,2021-06-26,inactive,,admin,Agnes-Schmidtke-Weg 6,33451,Naila
xbphi5jy,HanHei,HaHe0033@stud.hs-kl.de,Hanne,Hein,2016-08-27,female,2021-01-17,inactive,,admin,Edward-auch Schlauchin-Gasse 416,85685,Pößneck
kg72kh08,ChaDen,ChDe0009@stud.hs-kl.de,Chase,Dennis,1973-03-19,diverse,2020-12-26,inactive,,admin,Volkmar-Mans-Allee 9,53813,Uffenheim
u7neo6p0,NoéLan,NoLa0024@stud.hs-kl.de,Noémi,Langlois,2010-09-22,female,2020-08-17,banned,,user,Karzweg 4/1,30753,Roding
hz1ykhpk,DavPre,DaPr0078@stud.hs-kl.de,David,Prevost,1991-06-14,female,2020-11-08,banned,,admin,Hilde-Flantz-Gasse 6/7,92116,Schweinfurt
6gb2zh6g,LisLew,LiLe0039@stud.hs-kl.de,Lisa,Lewis,1986-07-30,diverse,2020-06-26,banned,,admin,Bährstraße 4/7,88059,Hohenstein-Ernstthal
12sw925c,LauSch,LaSc0022@stud.hs-kl.de,Laurie,Schneider,2021-02-27,diverse,2019-07-26,active,,user,Süßebierstr. 80,98675,Lüdinghausen
3vkuzoq6,BurWei,BuWe0061@stud.hs-kl.de,Burckhard,Weitzel,2016-12-31,female,2021-04-12,banned,,user,Stefani-Gude-Weg 30,38192,Güstrow
oef53419,KnuOde,KnOd0043@stud.hs-kl.de,Knud,Oderwald,2013-02-06,male,2019-11-23,inactive,,user,Ahmad-Ruppersberger-Weg 9,77112,Ebern
x4zdcj3m,VikTin,ViTi0008@stud.hs-kl.de,Viktor,Tintzmann,2003-01-06,diverse,2019-11-26,banned,,user,Heinrichallee 4,94040,Grevesmühlen
iz4t7hn1,AlpPot,AlPo0046@stud.hs-kl.de,Alphonse,Pottier,2007-05-10,female,2020-01-17,banned,,admin,Trüballee 8/5,28632,Chemnitz
iifzf4dr,MarGay,MaGa0046@stud.hs-kl.de,Marthe,Gay,2006-05-26,diverse,2021-05-24,banned,,user,Cora-Geisler-Platz 59,48051,Fürstenfeldbruck
53m4fl7v,MatWal,MaWa0017@stud.hs-kl.de,Matthew,Walker,2016-11-23,male,2019-08-25,inactive,,admin,Ruppertweg 1/8,25729,Artern
yirm6tkz,VicCha,ViCh0094@stud.hs-kl.de,Victoire,Charpentier,1985-11-22,diverse,2020-10-14,banned,,admin,Kochgasse 958,82413,Neustadt am Rübenberge
qu9cuvjb,JovLöf,JoLö0095@stud.hs-kl.de,Jovan,Löffler,1991-05-21,female,2021-05-19,inactive,,admin,Eberthgasse 0,01331,Biedenkopf
3c426jh5,SofSch,SoSc0081@stud.hs-kl.de,Sofie,Schmiedt,2014-04-09,male,2019-10-25,inactive,,admin,Rosegasse 8,05859,Hannover
pmitxd34,BirSta,BiSt0079@stud.hs-kl.de,Birger,Stahr,1980-08-15,diverse,2021-06-28,banned,,user,Mudeallee 60,27462,Luckau
it1sf8xo,HilSie,HiSi0013@stud.hs-kl.de,Hildegard,Siering,2006-04-01,female,2021-04-20,active,,admin,Marjan-Seidel-Weg 784,24575,Bad Mergentheim
2coplt70,RegHel,ReHe0046@stud.hs-kl.de,Regine,Hellwig,2000-04-06,diverse,2019-09-10,inactive,,user,Wielochplatz 7/5,54756,Eberswalde
1fy5bap5,BarJon,BaJo0052@stud.hs-kl.de,Barbara,Jones,1972-07-06,female,2020-11-29,banned,,user,Christina-Dörr-Straße 90,78243,Herford
ou4ewe4r,MarCol,MaCo0047@stud.hs-kl.de,Maryse,Colas,1991-11-08,diverse,2019-08-31,inactive,,user,Vogtstr. 26,48966,Moers
ibnoxkp5,GabGue,GaGu0082@stud.hs-kl.de,Gabriela,Guerrero,1997-05-12,female,2020-09-05,banned,,user,Amanda-Zorbach-Weg 88,03768,Lörrach
89elqzhy,LinRow,LiRo0091@stud.hs-kl.de,Linda,Rowe,2012-08-16,female,2020-04-26,active,,admin,Jakob-Lange-Straße 37,73027,Goslar
pai7xqrf,Josvan,Jova0042@stud.hs-kl.de,Josip,van der Dussen,1970-05-03,male,2020-12-11,active,,admin,Löfflerallee 4/0,38268,Jüterbog
5pqtsof6,BarCoh,BaCo0023@stud.hs-kl.de,Barbara,Cohen,1974-01-25,female,2021-07-16,active,,user,Horst-Dieter-Heintze-Ring 098,72684,Schmölln
4vs8pt3b,DenCol,DeCo0031@stud.hs-kl.de,Denise,Colin,1970-10-03,female,2020-05-27,inactive,,admin,Scholtzgasse 62,09718,Bruchsal
rdtj1b2m,FréHam,FrHa0066@stud.hs-kl.de,Frédérique,Hamon,1978-12-04,diverse,2021-06-21,active,,admin,Trubinallee 298,38002,Wittstock
7d6nx3r2,JohGre,JoGr0085@stud.hs-kl.de,Johnny,Green,2006-05-20,male,2021-03-16,banned,,admin,Klemmgasse 3/1,15268,Senftenberg
1o3w88y5,BerBig,BeBi0095@stud.hs-kl.de,Bernard,Bigot,2006-06-02,female,2019-11-19,inactive,,user,Linkering 5,82067,Saulgau
9jk78u0g,MonFri,MoFr0008@stud.hs-kl.de,Monja,Fritsch,2009-05-24,female,2020-08-28,inactive,,user,Walterstr. 2/3,77327,Dinkelsbühl
6z14s7pj,ChrCha,ChCh0025@stud.hs-kl.de,Christiane,Chauvin,2002-08-05,diverse,2021-03-10,inactive,,user,Plathstr. 1/8,75604,Gräfenhainichen
qeubipl5,JesLov,JeLo0094@stud.hs-kl.de,Jessica,Love,1986-01-31,female,2019-08-18,active,,user,Georgine-Otto-Gasse 1,20618,Celle
j2mcat4k,VicJar,ViJa0028@stud.hs-kl.de,Vicki,Jarvis,2008-05-30,diverse,2019-08-31,inactive,,user,Claus-Hellwig-Straße 22,89135,Sankt Goar
3jfwbowu,KarRäd,KaRä0053@stud.hs-kl.de,Karl-Heinrich,Rädel,1994-02-01,female,2020-11-25,active,,user,Adriana-Gertz-Ring 3/4,93078,Donaueschingen
b8sj8qap,HanWin,HaWi0073@stud.hs-kl.de,Hans,Winkler,2004-06-10,diverse,2021-03-24,active,,admin,Heinz-Wilhelm-Junck-Straße 5,50924,Miltenberg
t1tfztqk,SteJam,StJa0065@stud.hs-kl.de,Stephanie,James,2010-11-06,male,2019-11-27,banned,,user,Alfred-Rose-Straße 6,96705,Halberstadt
6sksnb43,ClaCha,ClCh0077@stud.hs-kl.de,Claude,Charrier,1972-07-26,male,2019-10-21,banned,,user,Reinhardtweg 9/4,18862,Marktheidenfeld
tmzzv7n2,RupMan,RuMa0099@stud.hs-kl.de,Rupert,Mangold,1992-02-24,diverse,2020-08-16,inactive,,user,Lia-Fritsch-Ring 649,34462,Flöha
l6v3bngw,IsaHub,IsHu0042@stud.hs-kl.de,Isabelle,Hubert,1987-04-16,male,2019-09-28,active,,admin,Vera-Mangold-Allee 147,38020,Kelheim
c8szt48j,NicDub,NiDu0058@stud.hs-kl.de,Nicole,Dubois,1989-01-08,male,2020-01-15,inactive,,admin,Sybille-Adolph-Allee 4,38154,Recklinghausen
hdepqp2e,ÉmiReg,ÉmRe0054@stud.hs-kl.de,Émile,Regnier,1997-09-20,female,2021-03-05,active,,user,Wagnerweg 9/9,85032,Erfurt
xm8yudf5,JasMcc,JaMc0063@stud.hs-kl.de,Jason,Mccoy,2003-05-19,male,2020-07-26,inactive,,admin,Vincent-Bolzmann-Ring 3/1,04381,Passau
4n2zsn27,ThéLem,ThLe0052@stud.hs-kl.de,Théophile,Lemaitre,1997-05-13,male,2019-08-23,active,,user,Eberthgasse 8/1,24151,Eberswalde
b9lhnh94,MarLef,MaLe0042@stud.hs-kl.de,Marie,Lefebvre,1971-05-11,male,2020-10-06,active,,user,Schulzstraße 5/9,79174,Berlin
7ov83i8b,HenNor,HeNo0017@stud.hs-kl.de,Henri,Normand,2008-10-29,female,2020-06-10,banned,,admin,Junkenring 2,75063,Rehau
